Voti Fantacalcio 38ª giornata di campionato,,,,,,,,,,,,
Solo su www.fantacalcio.it i voti ufficiali per la tua lega,,,,,,,,,,,,
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET,,,,,,,,,,,,
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTACALCIO.IT,,,,,,,,,,,,
Atalanta,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
5513,D,Dumfries,6,0,0,0,0,0,0,0,0,0
5877,D,Carlos Augusto,6.5,0,0,0,0,0,0,0,0,0
6217,D,Bisseck,6,0,0,0,0,0,0,0,0,0
1870,C,Barella,6,0,0,0,0,0,0,0,0,0
2194,C,Calhanoglu,6.5,0,0,0,0,0,0,1,0,1
5422,C,Zalewski,7,0,0,0,0,0,0,0,0,0
5719,C,Asllani,6,0,0,0,0,0,0,0,0,0
7062,C,Topalovic,6*,0,0,0,0,0,0,0,0,0
495,A,Correa,7,1,0,0,0,0,0,0,0,0
4268,A,Arnautovic,6,0,0,0,0,0,0,0,0,0
6628,A,Taremi,6.5,0,0,0,0,0,0,0,0,1
826,ALL,Inzaghi S.,6,0,0,0,0,0,0,0,0,0
Juventus,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
5876,P,Di Gregorio,6.5,0,2,0,0,0,0,0,0,0
5520,D,Cambiaso,6,0,0,0,0,0,0,0,0,1
5831,D,Gatti,6*,0,0,0,0,0,0,0,0,0
6766,D,Kelly L.,5.5,0,0,0,0,0,0,0,0,0
6802,D,Savona,5,0,0,0,0,0,0,0,0,0
6975,D,Alberto Costa,6,0,0,0,0,0,0,1,0,0
827,C,Locatelli,7.5,0,0,0,0,1,0,0,0,0
4662,C,Weah,6*,0,0,0,0,0,0,0,0,0
4973,C,McKennie,6,0,0,0,0,0,0,0,0,0
5562,C,Thuram K.,5.5,0,0,0,0,0,0,0,0,0
6761,C,Veiga R.,5.5,0,0,0,0,0,0,0,0,0
